timestamp,heart_rate,hrv,steps,sleep_hours
2023-01-01 04:20:00,65,66,304,7.5
2023-01-01 04:30:00,67,64,685,7.5
2023-01-01 04:40:00,72,63,923,7.5
2023-01-01 04:50:00,71,65,752,7.5
2023-01-01 05:00:00,74,75,1124,7.5
2023-01-01 05:10:00,70,63,1116,7.5
2023-01-01 05:20:00,75,74,1593,7.5
2023-01-01 05:30:00,73,65,1603,7.5
2023-01-01 05:40:00,73,67,1913,7.5
2023-01-01 05:50:00,73,68,2029,7.5
2023-01-01 06:00:00,69,72,2175,7.5
2023-01-01 06:10:00,76,69,2099,7.5
2023-01-01 06:20:00,70,64,2206,7.5
2023-01-01 06:30:00,80,67,2433,7.5
2023-01-01 06:40:00,80,62,2673,7.5
2023-01-01 06:50:00,81,61,2698,7.5
2023-01-01 07:00:00,82,60,2694,7.5
2023-01-01 07:10:00,78,62,2970,7.4
2023-01-01 07:20:00,76,68,2740,7.3
2023-01-01 07:30:00,85,55,3012,7.2
2023-01-01 07:40:00,83,56,2934,7.1
2023-01-01 07:50:00,79,66,3085,7.0
2023-01-01 08:00:00,81,66,2795,6.9
2023-01-01 08:10:00,88,54,2856,6.8
2023-01-01 08:20:00,84,56,3051,6.7
2023-01-01 08:30:00,91,52,2984,6.6
2023-01-01 08:40:00,84,52,3098,6.5
2023-01-01 08:50:00,88,50,2930,6.4
2023-01-01 09:00:00,91,61,2658,6.3
2023-01-01 09:10:00,89,59,2664,6.2
2023-01-01 09:20:00,90,52,2820,6.1
2023-01-01 09:30:00,88,61,2739,6.0
2023-01-01 09:40:00,92,60,2412,5.9
2023-01-01 09:50:00,90,57,2583,5.8
2023-01-01 10:00:00,90,49,2181,5.7
2023-01-01 10:10:00,95,55,2355,5.6
2023-01-01 10:20:00,95,49,2092,5.5
2023-01-01 10:30:00,100,56,2005,5.4
2023-01-01 10:40:00,101,50,1633,5.3
2023-01-01 10:50:00,94,47,1725,5.2
2023-01-01 11:00:00,99,54,1620,5.1
2023-01-01 11:10:00,93,57,1155,5.0
2023-01-01 11:20:00,99,44,989,4.9
2023-01-01 11:30:00,97,49,958,4.8
2023-01-01 11:40:00,104,47,672,4.7
2023-01-01 11:50:00,101,56,594,4.6
2023-01-01 12:00:00,97,47,198,4.5
2023-01-01 12:10:00,96,50,250,4.4
2023-01-01 12:20:00,97,51,111,4.3
2023-01-01 12:30:00,99,46,30,4.2
2023-01-01 12:40:00,103,51,-61,4.1
2023-01-01 12:50:00,98,49,94,4.0
2023-01-01 13:00:00,98,50,-154,3.9
2023-01-01 13:10:00,94,51,61,3.8
2023-01-01 13:20:00,94,55,185,3.7
2023-01-01 13:30:00,98,45,-67,3.6
2023-01-01 13:40:00,102,44,-8,3.5
2023-01-01 13:50:00,99,52,-97,3.4
2023-01-01 14:00:00,97,45,53,3.3
2023-01-01 14:10:00,94,47,182,3.2
2023-01-01 14:20:00,100,48,-101,3.1
2023-01-01 14:30:00,90,48,-34,3.0
2023-01-01 14:40:00,90,49,-190,2.9
2023-01-01 14:50:00,96,50,36,2.8
2023-01-01 15:00:00,90,53,-79,2.7
2023-01-01 15:10:00,89,51,-5,2.6
2023-01-01 15:20:00,93,53,87,2.5
2023-01-01 15:30:00,92,50,-159,2.4
2023-01-01 15:40:00,86,52,136,2.3
2023-01-01 15:50:00,84,58,97,2.2
2023-01-01 16:00:00,87,53,57,2.1
2023-01-01 16:10:00,89,55,-93,2.0
2023-01-01 16:20:00,85,60,-1,1.9
2023-01-01 16:30:00,84,59,187,1.8
2023-01-01 16:40:00,86,60,-127,1.7
2023-01-01 16:50:00,86,65,22,1.6
2023-01-01 17:00:00,78,62,32,1.5
2023-01-01 17:10:00,77,60,97,1.4
2023-01-01 17:20:00,79,68,-13,1.3
2023-01-01 17:30:00,84,61,-109,1.2
2023-01-01 17:40:00,79,69,-131,1.1
2023-01-01 17:50:00,77,68,0,1.0
2023-01-01 18:00:00,78,65,-140,0.9
2023-01-01 18:10:00,74,64,-178,0.8
2023-01-01 18:20:00,79,64,14,0.7
2023-01-01 18:30:00,75,72,74,0.6
2023-01-01 18:40:00,72,70,135,0.5
2023-01-01 18:50:00,71,60,-150,0.4
2023-01-01 19:00:00,74,72,195,0.3
2023-01-01 19:10:00,69,65,104,0.2
2023-01-01 19:20:00,71,65,137,0.1
2023-01-01 19:30:00,73,64,-113,0.0
2023-01-01 19:40:00,74,66,-180,0.0
2023-01-01 19:50:00,69,73,77,0.0
2023-01-01 20:00:00,70,64,159,0.0
2023-01-01 20:10:00,71,69,-21,0.0 
