focus,fatigue,stress
0.253,0.078,0.0
0.267,0.0,0.0
0.38,0.0,0.0
0.393,0.0,0.0
0.673,0.0,0.0
0.327,0.0,0.0
0.692,0.0,0.0
0.46,0.0,0.0
0.542,0.0,0.0
0.577,0.0,0.0
0.57,0.0,0.0
0.633,0.0,0.0
0.441,0.0,0.0
0.531,0.0,0.0
0.463,0.0,0.0
0.42,0.0,0.0
0.373,0.0,0.0
0.556,0.0,0.0
0.699,0.0,0.0
0.333,0.083,0.0
0.378,0.067,0.0
0.613,0.0,0.0
0.533,0.0,0.0
0.234,0.1,0.075
0.36,0.067,0.0
0.198,0.133,0.15
0.36,0.133,0.0
0.244,0.167,0.075
0.174,0.0,0.15
0.182,0.017,0.1
0.176,0.133,0.125
0.239,0.0,0.075
0.122,0.01,0.175
0.144,0.07,0.125
0.091,0.213,0.125
0.114,0.123,0.25
0.079,0.233,0.25
0.067,0.127,0.375
0.018,0.237,0.4
0.03,0.297,0.225
0.016,0.19,0.35
0.0,0.15,0.2
0.0,0.377,0.35
0.0,0.303,0.3
0.0,0.347,0.475
0.0,0.207,0.4
0.0,0.487,0.3
0.0,0.427,0.275
0.0,0.476,0.3
0.0,0.601,0.49
0.0,0.54,0.65
0.0,0.546,0.337
0.0,0.577,0.525
0.0,0.546,0.303
0.0,0.439,0.225
0.0,0.69,0.525
0.0,0.717,0.625
0.0,0.593,0.55
0.0,0.699,0.394
0.0,0.624,0.225
0.0,0.69,0.575
0.0,0.7,0.325
0.0,0.683,0.325
0.0,0.652,0.403
0.0,0.617,0.325
0.027,0.65,0.3
0.0,0.582,0.226
0.0,0.667,0.375
0.107,0.579,0.025
0.16,0.495,0.006
0.08,0.594,0.136
0.027,0.583,0.3
0.133,0.5,0.2
0.16,0.442,0.0
0.107,0.5,0.225
0.207,0.491,0.181
0.36,0.487,0.136
0.347,0.461,0.006
0.453,0.5,0.2
0.18,0.5,0.2
0.473,0.5,0.2
0.507,0.5,0.2
0.42,0.5,0.2
0.453,0.5,0.2
0.373,0.494,0.172
0.64,0.47,0.052
0.52,0.446,0.0
0.293,0.5,0.2
0.613,0.422,0.0
0.34,0.458,0.0
0.393,0.445,0.0
0.427,0.5,0.2
0.493,0.5,0.2
0.5,0.469,0.046
0.347,0.436,0.0
0.473,0.5,0.2
